date,GOOG,APPL,AMZN,FB,MSFT
2019-04-24,1256,207.160004,1901.75,182.580002,125.010002
2019-04-25,1263.449951,205.279999,1902.25,193.259995,129.149994
2019-04-26,1272.180054,204.300003,1950.630005,191.490005,129.889999
2019-04-29,1287.579956,204.610001,1938.430054,194.779999,129.770004
2019-04-30,1188.47998,200.669998,1926.52002,193.399994,130.600006
2019-05-01,1168.079956,210.520004,1911.52002,193.029999,127.879997
2019-05-02,1162.609985,209.149994,1900.819946,192.529999,126.209999
2019-05-03,1185.400024,211.75,1962.459961,195.470001,128.899994
2019-05-06,1189.390015,208.479996,1950.550049,193.880005,128.149994
2019-05-07,1174.099976,202.860001,1921,189.770004,125.519997
2019-05-08,1166.27002,202.899994,1917.77002,189.539993,125.510002
2019-05-09,1162.380005,200.720001,1899.869995,188.649994,125.5
2019-05-10,1164.27002,197.179993,1889.97998,188.339996,127.129997
2019-05-13,1132.030029,185.720001,1822.680054,181.539993,123.349998
2019-05-14,1120.439941,188.660004,1840.119995,180.729996,124.730003
2019-05-15,1164.209961,190.919998,1871.150024,186.270004,126.019997
2019-05-16,1178.97998,190.080002,1907.569946,186.990005,128.929993
2019-05-17,1162.300049,189,1869,185.300003,128.070007
2019-05-20,1138.849976,183.089996,1858.969971,182.720001,126.220001
2019-05-21,1149.630005,186.600006,1857.52002,184.820007,126.900002
2019-05-22,1151.420044,182.779999,1859.680054,185.320007,127.669998
2019-05-23,1140.77002,179.660004,1815.47998,180.869995,126.18
2019-05-24,1133.469971,178.970001,1823.280029,181.059998,126.239998
2019-05-28,1134.150024,178.229996,1836.430054,184.309998,126.160004
2019-05-29,1116.459961,177.380005,1819.189941,182.190002,124.940002
2019-05-30,1117.949951,178.300003,1816.319946,183.009995,125.730003
2019-05-31,1103.630005,175.070007,1775.069946,177.470001,123.68
2019-06-03,1036.22998,173.300003,1692.689941,164.149994,119.839996
2019-06-04,1053.050049,179.639999,1729.560059,167.5,123.160004
2019-06-05,1042.219971,182.539993,1738.5,168.169998,125.830002
2019-06-06,1044.339966,185.220001,1754.359985,168.330002,127.82
2019-06-07,1066.040039,190.149994,1804.030029,173.350006,131.399994
2019-06-10,1080.380005,192.580002,1860.630005,174.820007,132.600006
2019-06-11,1078.719971,194.809998,1863.699951,178.100006,132.100006
2019-06-12,1077.030029,194.190002,1855.319946,175.039993,131.490005
2019-06-13,1088.77002,194.149994,1870.300049,177.470001,132.320007
2019-06-14,1085.349976,192.740005,1869.670044,181.330002,132.449997
2019-06-17,1092.5,193.889999,1886.030029,189.009995,132.850006
2019-06-18,1103.599976,198.449997,1901.369995,188.470001,135.160004
2019-06-19,1102.329956,197.869995,1908.790039,187.479996,135.690002
2019-06-20,1111.420044,199.460007,1918.189941,189.529999,136.949997
2019-06-21,1121.880005,198.779999,1911.300049,191.139999,136.970001
2019-06-24,1115.52002,198.580002,1913.900024,192.600006,137.779999
